Name,Code,KTNR,pop_1971,pop_1972,pop_1973,pop_1974,pop_1975,pop_1976,pop_1977,pop_1978,pop_1979,pop_1980,pop_1981,pop_1982,pop_1983,pop_1984,pop_1985,pop_1986,pop_1987,pop_1988,pop_1989,pop_1990,pop_1991,pop_1992,pop_1993,pop_1994,pop_1995,pop_1996,pop_1997,pop_1998,pop_1999,pop_2000,pop_2001,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,male_1971,male_1972,male_1973,male_1974,male_1975,male_1976,male_1977,male_1978,male_1979,male_1980,male_1981,male_1982,male_1983,male_1984,male_1985,male_1986,male_1987,male_1988,male_1989,male_1990,male_1991,male_1992,male_1993,male_1994,male_1995,male_1996,male_1997,male_1998,male_1999,male_2000,male_2001,male_2002,male_2003,male_2004,male_2005,male_2006,male_2007,male_2008,male_2009,male_2010,female_1971,female_1972,female_1973,female_1974,female_1975,female_1976,female_1977,female_1978,female_1979,female_1980,female_1981,female_1982,female_1983,female_1984,female_1985,female_1986,female_1987,female_1988,female_1989,female_1990,female_1991,female_1992,female_1993,female_1994,female_1995,female_1996,female_1997,female_1998,female_1999,female_2000,female_2001,female_2002,female_2003,female_2004,female_2005,female_2006,female_2007,female_2008,female_2009,female_2010,ch_1971,ch_1972,ch_1973,ch_1974,ch_1975,ch_1976,ch_1977,ch_1978,ch_1979,ch_1980,ch_1981,ch_1982,ch_1983,ch_1984,ch_1985,ch_1986,ch_1987,ch_1988,ch_1989,ch_1990,ch_1991,ch_1992,ch_1993,ch_1994,ch_1995,ch_1996,ch_1997,ch_1998,ch_1999,ch_2000,ch_2001,ch_2002,ch_2003,ch_2004,ch_2005,ch_2006,ch_2007,ch_2008,ch_2009,ch_2010,foreign_1971,foreign_1972,foreign_1973,foreign_1974,foreign_1975,foreign_1976,foreign_1977,foreign_1978,foreign_1979,foreign_1980,foreign_1981,foreign_1982,foreign_1983,foreign_1984,foreign_1985,foreign_1986,foreign_1987,foreign_1988,foreign_1989,foreign_1990,foreign_1991,foreign_1992,foreign_1993,foreign_1994,foreign_1995,foreign_1996,foreign_1997,foreign_1998,foreign_1999,foreign_2000,foreign_2001,foreign_2002,foreign_2003,foreign_2004,foreign_2005,foreign_2006,foreign_2007,foreign_2008,foreign_2009,foreign_2010
Zürich,ZH,01,1095970,1105059,1114833,1121746,1120920,1113369,1108193,1108513,1112562,1118083,1122327,1125747,1126172,1125765,1127543,1129863,1134022,1139026,1143193,1147719,1147108,1154533,1159711,1164968,1171646,1176775,1179858,1184242,1192727,1204738,1217923,1233748,1245216,1255473,1266827,1277958,1295444,1319769,1341658,1359712,533344,537979,542256,544146,540577,536101,534815,535819,538872,541902,544281,546534,545345,546713,547698,549182,551861,554517,556636,560148,558886,562346,564483,567942,571350,573426,575124,578481,584523,591815,599920,607378,611854,618367,624329,630306,643621,657619,667498,676545,566388,572416,577020,580079,577045,573025,572451,573955,576484,578913,579559,581125,579345,580135,580550,582302,584705,586977,588263,590398,592832,595731,597600,600625,604107,605422,606490,609128,614046,619832,627011,633934,638039,643443,648261,653746,663946,675108,683799,692277,901687,904839,907394,910145,912576,915597,919133,927621,934276,938303,937908,938859,937551,939975,941702,943295,944201,944287,942558,940488,932357,930576,929501,928909,929406,930884,932481,936093,941082,948582,957271,965615,972210,979665,987385,998574,1007725,1019182,1031109,1042179,198045,205556,211882,214080,205046,193529,188133,182153,181080,182512,185932,188800,187139,186873,186546,188189,192365,197207,202341,210058,219361,227501,232582,239658,246051,247964,249133,251516,257487,263065,269660,275697,277683,282145,285205,285478,299842,313545,320188,326643
Bern / Berne,BE,02,911504,915295,918886,921623,919847,913958,910141,908722,908540,909915,912885,916534,919149,920724,922167,924159,927107,930665,934969,941466,946166,951691,955142,941534,941923,941492,939872,939977,942363,943647,945269,948042,950866,953778,956341,958095,961056,966253,971902,976362,447443,449063,450179,451030,447515,444186,442994,442113,442070,442941,444769,446719,447396,448142,448785,450015,451621,453386,456070,460329,461760,463391,464868,457375,457197,456691,455641,457061,458067,458075,459189,460995,462314,464190,465140,466394,468845,472281,474903,476994,465744,468346,470191,471852,469303,466918,466190,466154,466750,468075,469984,471604,472584,473334,474078,475448,477137,479191,481295,485244,488010,490067,491749,484372,484755,484237,483006,484083,485360,485621,487121,488595,489643,491188,491924,492503,494137,497018,499332,501254,825606,827789,829546,831074,831919,832958,834207,837254,840739,842423,844733,847217,848981,850117,851114,852620,853806,855119,856735,857873,856094,856312,855350,839229,837006,834693,831688,832936,832850,831291,831659,833706,834863,836955,838352,841188,843052,845650,847153,848523,87581,89620,90824,91808,84899,78146,74977,71013,68081,68593,70020,71106,70999,71359,71749,72843,74952,77458,80630,87700,93676,97146,101267,102518,104946,106235,106959,108208,110577,112405,114651,115884,117094,118423,118712,117709,119930,123649,127082,129725
Luzern,LU,03,288775,290995,292952,294415,294229,292900,292377,292509,292908,293808,295400,297487,299417,301240,303072,305016,307436,310250,313298,317180,323854,329046,333602,336649,339223,341162,342345,343077,344286,346267,348236,350941,352514,353938,355542,357734,361272,366089,370817,374648,143268,144191,144962,145411,144397,143773,143770,143946,144202,144876,145748,146854,147698,148592,149467,150586,151812,153339,154865,157370,161163,163817,165680,166845,168001,168566,169144,169109,170072,170804,172241,173141,173880,174698,175548,176858,179284,182087,184187,185963,146632,147901,148852,149606,149044,148585,148626,148674,148995,149545,150630,151743,152539,153653,154434,155546,156929,158422,159972,162155,165120,168013,169705,171096,172535,173243,173772,174145,175285,176405,177776,178748,179295,180033,180836,182252,184191,186655,188777,190432,261047,262297,263365,264262,264975,265682,266757,268563,269304,270013,271029,272627,273878,275286,276255,277665,279155,280799,282515,284046,287471,289479,290069,290609,291281,292045,292677,292925,293981,295025,296685,297833,298986,300195,301580,303662,306207,309007,311967,314739,28853,29795,30449,30755,28466,26676,25639,24057,23893,24408,25349,25970,26359,26959,27646,28467,29586,30962,32322,35479,38812,42351,45316,47332,49255,49764,50239,50329,51376,52184,53332,54056,54189,54536,54804,55448,57268,59735,60997,61656
Uri,UR,04,33374,33570,33788,33963,33935,33865,33935,33852,33631,33535,33497,33533,33574,33572,33554,33488,33447,33490,33528,33582,35208,35466,35646,35838,35916,35883,35823,35700,35556,35376,35100,35108,35172,35111,35093,35030,34979,35086,35260,35327,16889,17034,17142,17197,17164,17251,17400,17169,17021,16972,16920,16910,16909,16911,16852,16821,16807,16819,16842,16916,17820,17877,17946,18056,18035,18009,17962,17818,17736,17637,17544,17691,17637,17624,17717,17653,17711,17793,17957,17910,16577,16638,16761,16823,16684,16629,16588,16544,16525,16551,16551,16685,16643,16678,16665,16635,16628,16725,16669,16734,17543,17667,17781,17877,17841,17852,17807,17794,17751,17609,17448,17518,17481,17459,17370,17295,17278,17369,17378,17391,31421,31512,31557,31617,31629,31595,31603,31670,31660,31640,31532,31506,31580,31582,31494,31425,31419,31450,31358,31375,32905,32893,32903,32893,32693,32657,32631,32609,32526,32363,32236,32348,32252,32149,32118,31989,31943,31945,32005,31964,2045,2160,2346,2403,2219,2285,2385,2043,1886,1883,1939,2089,1972,2007,2023,2031,2016,2094,2153,2275,2458,2651,2824,3040,3183,3204,3138,3003,2961,2883,2756,2861,2866,2934,2969,2959,3046,3217,3330,3337
Schwyz,SZ,05,91450,92564,93621,94472,94750,94596,94658,94979,95400,96133,97058,98044,99201,100356,101470,102711,103997,105522,107237,109295,112296,114799,117285,119534,121473,123077,124447,125793,127338,129215,130032,132221,134037,135425,136729,138157,139903,142345,144176,145464,46465,47006,47458,47780,47730,47616,47728,47901,48140,48649,49127,49667,50328,50797,51440,52043,52763,53670,54545,55791,57153,58457,59634,60695,61532,62203,62820,63561,64496,65428,66137,67154,68066,68709,69551,70307,71568,73135,73657,74569,45563,46091,46684,47020,46970,46874,47096,47231,47527,47948,48392,48899,49506,50078,50623,51315,51871,52739,53518,54735,56400,57633,58894,59881,60877,61585,62329,62918,63752,64804,65127,66073,66837,67280,67971,68525,69456,70584,71029,71716,82152,82879,83545,84262,84828,85511,86040,86973,87593,88214,88817,89487,90538,91397,92375,93450,94385,95563,96702,97986,99591,100546,101494,102416,103609,104856,106042,107239,108573,110530,110890,112264,113388,113921,114851,115781,116762,118044,118574,119331,9876,10218,10597,10538,9872,8979,8784,8159,8074,8383,8702,9079,9296,9478,9688,9908,10249,10846,11361,12540,13962,15544,17034,18160,18800,18932,19107,19240,19675,19702,20374,20963,21515,22068,22671,23051,24262,25675,26112,26954
Obwalden,OW,06,24546,24770,24961,25146,25232,25244,25301,25350,25423,25610,25961,26382,26692,26930,27189,27463,27672,27823,28111,28569,29355,29971,30535,30889,31129,31368,31628,31903,32100,32312,32508,32812,33046,33144,33209,33506,33871,34207,34724,35255,12460,12581,12740,12802,12815,12828,12872,12877,12958,13079,13325,13491,13575,13696,13841,13963,14069,14122,14329,14602,14992,15242,15650,15570,15780,15790,15937,15984,16167,16235,16362,16511,16594,16598,16661,16936,17053,17231,17570,17896,12217,12281,12317,12431,12414,12429,12471,12479,12530,12652,12866,13078,13238,13350,13489,13631,13680,13774,13994,14211,14720,15005,15187,15388,15530,15650,15894,16005,16058,16179,16316,16450,16548,16564,16608,16819,16944,17198,17462,17596,23053,23186,23298,23421,23533,23637,23750,23876,23993,24136,24493,24819,25098,25333,25568,25825,25982,26101,26416,26762,27355,27658,27858,27794,28046,28212,28438,28608,28741,28898,29135,29359,29423,29450,29504,29781,29954,30153,30524,30834,1624,1676,1759,1812,1696,1620,1593,1480,1495,1595,1698,1750,1715,1713,1762,1769,1767,1795,1907,2051,2357,2589,2979,3164,3264,3228,3393,3381,3484,3516,3543,3602,3719,3712,3765,3974,4043,4276,4508,4658
Nidwalden,NW,07,25437,25768,26132,26486,26743,26941,27236,27561,27839,28153,28605,29085,29522,29960,30379,30822,31196,31484,31826,32331,34010,34603,35125,35686,36222,36628,37009,37274,37486,37825,38097,38562,38901,39282,39650,39906,40149,40507,40761,40857,13086,13248,13426,13585,13650,13769,13965,14107,14251,14411,14694,14868,15117,15298,15552,15807,15945,16098,16320,16598,17438,17680,17898,18213,18472,18580,18806,18847,18967,19157,19444,19636,19802,20011,20214,20372,20491,20744,20722,20789,12506,12693,12894,13066,13184,13277,13458,13588,13731,13910,14194,14410,14648,14855,15049,15234,15402,15521,15710,16030,16906,17186,17495,17770,17994,18214,18426,18473,18690,18843,18945,19100,19268,19486,19589,19640,19796,19993,20072,20133,23658,23995,24322,24680,25062,25383,25752,26186,26539,26882,27461,27799,28240,28634,29040,29381,29619,29854,30223,30647,32117,32296,32602,32965,33197,33475,33805,33862,34115,34455,34766,35057,35394,35760,36041,36153,36241,36434,36415,36376,1934,1946,1998,1971,1772,1663,1671,1509,1443,1439,1427,1479,1525,1519,1561,1660,1728,1765,1807,1981,2227,2570,2791,3018,3269,3319,3427,3458,3542,3545,3623,3679,3676,3737,3762,3859,4046,4303,4379,4546
Glarus,GL,08,37683,37563,37596,37603,37235,36711,36389,36174,36053,36081,36193,36224,36219,36332,36422,36500,36628,36814,37104,37452,38469,38857,39069,39276,39409,39301,38958,38725,38711,38636,38220,38282,38432,38423,38260,38142,38176,38322,38440,38540,18516,18486,18551,18485,18106,17935,17827,17721,17703,17767,17834,17774,17775,17869,17813,17951,17998,18114,18267,18455,19149,19278,19331,19413,19471,19349,19118,19091,19120,19010,18851,18927,19057,18956,18887,18890,18994,19078,19153,19340,19067,19056,19097,19071,18806,18574,18439,18360,18318,18371,18415,18422,18465,18554,18606,18629,18676,18839,18986,19193,19571,19698,19807,19975,19939,19812,19617,19607,19588,19536,19365,19395,19445,19361,19286,19194,19243,19292,19326,19228,31205,31056,30919,30794,30668,30571,30494,30531,30447,30367,30354,30186,30270,30352,30305,30349,30344,30510,30620,30746,31399,31413,31272,31293,31222,31171,30948,31029,31034,30911,30571,30680,30716,30548,30579,30678,30923,30940,30866,30769,6378,6486,6729,6762,6244,5938,5772,5550,5574,5771,5895,6010,5970,6071,6114,6231,6330,6443,6633,6902,7321,7563,7866,8095,8188,7990,7787,7669,7674,7635,7645,7642,7786,7769,7594,7406,7314,7430,7613,7799
Zug,ZG,09,68260,69472,70589,71623,72117,72292,72837,73551,74280,75185,76013,76767,77525,78421,79627,80954,82213,83105,83714,84460,85118,86447,87792,89465,91373,93035,94385,95777,97104,98541,100331,101679,102989,104409,105833,106797,108115,109729,110605,111525,33935,34524,35060,35538,35548,35668,36034,36353,36805,37308,37730,38111,38471,39107,39780,40537,41132,41496,41810,42300,42618,43247,43927,44848,45906,46578,47240,48028,48719,49589,50497,51273,51954,52852,53470,53792,54905,55609,55815,56473,34977,35505,36089,36555,36593,36774,37197,37515,37886,38369,38618,39073,39393,39871,40493,41097,41658,41923,42199,42608,43264,43818,44656,45564,46486,47159,47858,48489,49039,49799,50525,51134,51688,52392,53026,53379,54236,54775,55075,55764,58172,58975,59847,60523,61261,62122,62934,64020,64836,65552,65947,66546,67121,68007,69083,70174,70932,71230,71448,71693,71921,72358,72974,73706,75094,76255,77409,78442,79140,80041,81228,82105,82916,83832,84597,84765,85144,85097,85007,85483,10740,11054,11302,11570,10880,10320,10297,9848,9855,10125,10401,10638,10743,10971,11190,11460,11858,12189,12561,13215,13961,14707,15609,16706,17298,17482,17689,18075,18618,19347,19794,20302,20726,21412,21899,22406,23997,25287,25883,26754
Fribourg / Freiburg,FR,10,179019,181116,182511,183881,184260,183659,183276,183154,183469,184113,185199,186749,188241,189638,191418,193543,195911,198672,202248,206041,208919,212862,216819,220659,223566,226387,229088,231204,233379,235491,238850,242001,245162,248636,252290,256206,260849,265988,270949,275588,91273,92152,92494,93217,92743,92379,92020,92006,92161,92576,93300,94008,94577,95285,96230,97323,98628,100160,102327,103915,105339,107198,109311,110960,111966,113612,114506,115516,116494,117571,119121,120763,122378,124212,125984,128112,130755,133569,135904,138254,89043,89763,90612,91437,91123,91072,91079,91203,91566,91921,92601,93589,94305,95109,96210,97322,98547,100006,102001,103836,105444,107357,109393,111267,112586,114254,115441,116570,117813,118768,121218,122637,124278,126165,127970,130140,132486,134968,137255,139570,164510,165479,166284,167018,167670,168289,168910,169488,170429,170916,171910,173250,174483,175675,177245,178919,180560,182548,184797,186175,186820,188616,190477,192416,194366,196616,198428,199953,201451,202947,206190,207660,209613,212076,214262,217140,219403,222471,224802,227352,15806,16436,16822,17636,16196,15162,14189,13721,13298,13581,13991,14347,14399,14719,15195,15726,16615,17618,19531,21576,23963,25939,28227,29811,30186,31250,31519,32133,32856,33392,34149,35740,37043,38301,39692,41112,43838,46066,48357,50472
Solothurn,SO,11,222067,222581,223062,223302,222476,219930,217762,216665,216084,216228,217174,217864,217874,217977,218406,219062,219856,220859,222500,225096,230872,233772,235669,236884,238333,240055,241198,242538,243709,243994,244493,245799,246575,247128,247691,248310,249467,251076,252344,253799,109501,109984,109890,110144,109046,107628,106829,106290,106087,106405,107091,107177,107034,107140,107497,107943,108414,108969,110025,111756,115049,116096,116706,117072,118031,118646,119091,119813,119981,120079,120559,121058,121296,121565,122008,122479,123469,124483,125007,125987,112572,113102,113146,113420,112341,110842,110223,109986,109803,110158,110693,110765,110770,111008,111165,111515,111838,112495,113509,114899,117551,118782,119683,120266,121233,122131,122468,123637,123927,123936,124705,125222,125511,125814,125929,126134,126771,127347,127741,128771,190047,190182,190185,190055,190088,189904,189999,190590,191101,191075,191523,191556,191804,192215,192677,193167,193474,194060,195363,196652,199893,200782,201041,201278,201990,202745,203053,204461,204140,203688,203621,203592,203343,203234,203314,203302,203342,203509,203859,204677,32026,32904,32851,33509,31299,28566,27053,25686,24789,25488,26261,26386,26000,25933,25985,26291,26778,27404,28171,30003,32707,34096,35348,36060,37274,38032,38506,38989,39768,40327,41643,42688,43464,44145,44623,45311,46898,48321,48889,50081
Basel-Stadt,BS,12,231932,229810,228162,225678,222492,217968,213384,209915,206943,204587,202859,201631,200172,198338,196665,195100,193451,191707,190600,191068,194649,196055,196930,197142,196322,195251,193899,191696,189399,187984,186870,186515,186608,186624,186100,185139,184950,185876,187212,188595,107383,106866,105987,104586,102841,100215,98342,96770,95490,94554,93882,93707,92501,91739,90978,90150,89328,88458,88369,89424,91575,92179,92594,92467,91903,91503,90730,89714,88747,88484,87912,88203,88296,88369,87876,87598,87922,88712,89497,90384,122973,122398,121072,119711,117844,115034,113176,111539,110084,109044,108239,107432,106702,105731,104880,104190,103231,102396,101978,102363,104072,104455,104809,104587,103856,103410,102323,100791,99711,99183,98557,98516,98357,98384,97725,97224,97305,97960,98401,99047,190932,188513,185792,183328,180535,177651,174859,172894,170740,168165,166018,164429,162840,161134,159739,157962,155754,153398,151669,150113,151400,150140,149290,147773,145941,144375,142279,140242,137824,136609,134825,133730,132755,131998,130792,129234,129121,129290,128716,128341,39424,40751,41267,40969,40150,37598,36659,35415,34834,35433,36103,36710,36363,36336,36119,36378,36805,37456,38678,41674,44247,46494,48113,49281,49818,50538,50774,50263,50634,51058,51644,52989,53898,54755,54809,55588,56106,57382,59182,61090
